id,text,label,source_dataset,channel,is_human_written,is_ai_generated,is_ai_rewritten,phishing_probability,notes
SmishX-e40dfc18a3abbf76,Adel here's how to create 3 High Cash-Flowing Properties & Scale to a Six Figure Revenue! hxxps://tx[.]vc/r/2Aiak Optout hxxps://tx[.]vc/o/8d122,phishing,SmishX,sms,unknown,unknown,unknown,0.2925195166359977,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-223c7e6744c81bd6,"Re: IMPORTANT In a numb sort of way he understood and appreciated the bravery of the act, of making little lives that werent, creating the appearance of motion and the illusion of warmth. He could see the fine copperplate of the numbers the smaller needle at the bottom which recorded tenths of seconds, he could see the brand name printed in tiny letters: ANNEX.He could see the fine copperplate of the numbers the smaller needle at the bottom which recorded tenths of seconds, he could see the brand name printed in tiny letters: ANNEX. For some length of time that seemed very long (and so was, since the pain and the stormy haze were the only two things which existed) those sounds were the only outer reality. You and all your poker cronies - who probably control this whole minor-league ballpark of a town probably played a hand of Lowball or something to see who got this shit detail. In the end he was able to squeeze through - barely - by positioning himself squarely in the doorway and then leaning forward enough to grab the jambs of the door in his hands.In a numb sort of way he understood and appreciated the bravery of the act, of making little lives that werent, creating the appearance of motion and the illusion of warmth. He could see the fine copperplate of the numbers the smaller needle at the bottom which recorded tenths of seconds, he could see the brand name printed in tiny letters: ANNEX.You and all your poker cronies - who probably control this whole minor-league ballpark of a town probably played a hand of Lowball or something to see who got this shit detail. In the end he was able to squeeze through - barely - by positioning himself squarely in the doorway and then leaning forward enough to grab the jambs of the door in his hands.",phishing,cross_model_human,email,true,false,false,0.30191935988611,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-30a0490a2891097f,"demurred bovine chloride afterthought bobby, diagnosable cufflink amethyst, bourgeoisie bromfield. deep calligraph advisory die citizenry bolt dissertation. bakersfield botulism curious autonomy alligator alleyway abeyance addenda boatmen corrigenda bellingham avertive. bucknell contingent clown congresswomen chloride altruism crandall",phishing,cross_model_human,email,true,false,false,0.324318126214825,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
SmishX-712567e5d31030b9,"Dear, you passed the interview. An average of 6,000 TK can be received every day, contact: hxxps://wa[.]me/[PHONE]:48 AM",phishing,SmishX,sms,unknown,unknown,unknown,0.3243832746862845,original_label=smishing;if_URL=1;authorship_not_provided
SmishX-9ff209476f46d59a,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www[.]txttowin[.]co[.]uk,phishing,SmishX,sms,unknown,unknown,unknown,0.3437006355498272,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-e520733933eaa40c,Tired of slow connections? Tired of slow connections? ARE YOU TIRED OF SLOW INTERNET CONNECTIONS? WANT BLISTERING FAST WEB SPEED? TO SPEED UP YOUR DOWNLOADS CLICK HERE NOW! GUARANTEED TO BOOST YOUR INTERNET SPEED BY UP TO 220%. CLICK HERE TO LEARN MORE!,phishing,cross_model_human,email,true,false,false,0.3601562992847568,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
SmishX-b0b65b407445bac8,USPS: We tried to delivery your parcel this morning needs your attention (3.00$ unpaid fee) and the delivery address on link: hxxps://rotf[.]lol/2p8amnvs Text STOP to opt-out,phishing,SmishX,sms,unknown,unknown,unknown,0.3619910792232318,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-882d34339ffdbe29,"Part-time job He felt tiny hard goosebumps rising on his skin. battalion chromosome ""Whoever it is, I thank ye not for the burn I've given m'self!An hour later he saw Annie stalk grimly past his window, drawing on a pair of work-gloves as she headed for the barn. And do you know what? Her tread was heavy, but Paul didn't hear that, either. NO! No more, please. Just because she doesn't have anyone to chatter with all day doesn't mean she is incapable of understanding that accidents can happen; she could fall downstairs and break an arm or a leg, the barn might catch on fire�� How many times have you heard this supposed telephone ring? ""Colter's words were muffled in the handkerchief, but Geoffrey could see his eyes; the man was really, honestly weeping. clairvoyant",phishing,cross_model_human,email,true,false,false,0.3714088263323343,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
SmishX-67f1792e892cda2e,ASSURANCE MALADIE : Votre nouvelle carte vitale est disponible. Remplissez ce formulaire afin de rester couvert : hxxps://ameli-commande[.]info/,phishing,SmishX,sms,unknown,unknown,unknown,0.3828114080942089,original_label=smishing;if_URL=1;authorship_not_provided
SmishX-d43dce70303b61d3,ASSURANCE MALADIE : Votre nouvelle carte vitale est disponible. Remplissez ce formulaire afin de rester couvert : hxxps://ameli-commande[.]info/,phishing,SmishX,sms,unknown,unknown,unknown,0.3828114080942089,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-a65f2c8144e80b25,"Sorry took so long to get this to ya Hey Jimmy, it was really fun going out the other night and talking, while we were out you said that you felt insecure about your manhood, I noticed in the toilets you were quite small in that area : ) , but not to worry.. that website that I was telling you about is my secret weapon to an extra 3 inches, trust me.. girls love bigger ones, I've had 5 times as many chicks since I used these pills a year ago. The package I used was the 6 month supply one, and its worth every cent and more.. the website is hxxp://ctmay[.]com Ring me on the weekend and we will go out and drink again and let you know some more secrets : ). Later dude, Brad",phishing,cross_model_human,email,true,false,false,0.3875602474482633,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-dbc4363c119ad735,In Celebration Of Your Birthday - from Jacqueline Gayle & Your Kids In Celebration Of Your Birthday from Jacqueline Gayle Your Kids Hello! Jacqueline Gayle Your Kids has just sent you a greeting card from Bluemountain.com. You can pick up your personal message here: Your card will be available for the next 90 days This service is 100% FREE! Have a good day and have fun! ________________________________________________________________________ Accessing your card indicates agreement with Blue Mountain's Website Rules: Send FREE Blue Mountain greeting cards to friends and family,phishing,cross_model_human,email,true,false,false,0.3980129669903187,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-a90af19a2aac6391,"Captains quieres mas ? Sometimes related to cashier laughs out loud, but tea party toward philosopher always eat beyond cup!Any omphalos can prefer for tomato, but it takes a real chess board to around chain saw.When about ski lodge hibernates, mastadon related to eggplant gets stinking drunk.Ruthie, although somewhat soothed by demon toward vacuum cleaner and swamp for.He called her Ruthie (or was it Ruthie?).",phishing,cross_model_human,email,true,false,false,0.4051254245642472,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-87395d84be421eff,"First 100 Responses Only! We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. We ll provide the tools and training. ______________________________________________________ To stop receiving emails, click here",phishing,cross_model_human,email,true,false,false,0.4058854663693265,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-cc9417aa1299df53,"We shall help you to relieve your life of depression! Hi, Depression? Life is bad? You do not wish to live? Depression? STOP! You have dropped from work? Depression? STOP! Problems in family? Depression? STOP! The life has worsened? Depression has attacked? SAY STOP! We know how to kill Depression! PROZAC MUST HELP YOU! Try PROZAC now & in your life again will be sunshine...",phishing,cross_model_human,email,true,false,false,0.4133561539512342,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-c167cc5a41022232,"gazette indies judge indies truly belfry cultivate expository? maid, charity rhode. molal brazen dapple brooke belfry bourbaki, skeet victrola paperbound semi victrola emile. semi irish tva wonderland paperbound sunder? workbook, bourbaki genoa. thereon semi revet blackwell cultivate belfry, promote malleable promote copperas studious gazette. rhode wonderland spiral continuant workbook brooke? workbook, servant blackwell. expository spiral.",phishing,cross_model_human,email,true,false,false,0.4144725415250105,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
cross_model_human-7d7ff6cbca08411e,"Great chance for u forget you.'��the long neck about, while unearthly quacks issued from the bill. china-closet door. answered jo, smiling all over her face, so infectiously that they forget you.' forget you.' it was not nearly so well done, but there was so worked up as he was by the sight of them wretched women. he fed��breaths that came in heavy gasps or fluttered fitfully. this was breaths that came in heavy gasps or fluttered fitfully. this was��""i might as well begin at once, and give the child something to one another in the sofa-corner the evening before; and when these gween silk, and that 's nicer than old wed cloth,"" cried maud, ruffling billy was the only person whom bangs felt he could trust jo and pathos the most gifted fancy could but poorly imitate. and beautiful were set before her.��china and developed countries. that means, if we want to shorten fear of god. ef i do this the best way i know how, i'm sure i'll��pink curtains of the couch trembled slightly, as if stirred from she was not at all handsome, but she had mates, anxious that souls should be ministered to, as well as bodies, perfectly miserable, but if you consider me presentable, i die happy."" ""what is that?"" at ""the first settlements"" he had to stop, for the schoolhouse if by magic. the biggest of the tigers came up to the lion and bowed,��the irregular life i have led since have resulted in spinal curvature. light gloves, a cane, and��""all right, ""do you think her hair, simpering faces, and impossible waists. jo could not speak, and for several minutes there was that the small hopes and plans and pleasures of children should if i buy them myself,"" she said, piling up cups with an energy then came nick chopper, the tin woodman, with his funnel-shaped��at eleven when i send hannah for you."" as the gate clashed��too old for running, uncle; miss power said it was not lady-like about, polly quite agreed with him. he occasionally refreshed it is really unpleasant and unwanted. ""friendship first. competition hand to him, and rob said, patronizingly, ""don't be 'fraid; but she only said, ""how glad i am i remembered him, and how 'don't you like it?'��""hey? what? not trouble ""no, things, not to mention free lessons given by this same idle when the evil one gets hold of you, and together we'll rout lovingly, yet putting it into the box. ��feel less lonely. she and toto ate the last of their bread,��back soothingly, and finding that she was recovering, followed ""tell me all was tenderly cared for; and often she into her seat, she said, almost fiercely:",phishing,cross_model_human,email,true,false,false,0.4162042519999373,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-c781229a47ac7bf0,"Re: Just because you know someone doesn't mean you love them, and just because you don't know people doesn't mean you can't love them. You can fall in love with a complete stranger in a heartbeat, if God planned that route for you. So open your heart to strangers more often. You never know when God will throw that pass at you. hxxp://jg[.]winforgiveness[.]com",phishing,cross_model_human,email,true,false,false,0.4258845943772121,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
cross_model_human-0a5a00f1842e94c9,Health mall Several tips to make your woman happier. Will you be able to please her 5 times a night? Here! fIcompress etonight's evangelion episcopate erotopathy fLreadlink faceplants excavators escapement facitilies enervating epicranius,phishing,cross_model_human,email,true,false,false,0.4380083277291627,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
SmishX-5838b8528d006ea7,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www[.]txttowin[.]co[.]uk,phishing,SmishX,sms,unknown,unknown,unknown,0.4401550151954463,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-6b5d2511249db96f,"hypocritical astray futile pisces chromic cleanse byzantium auk? tiresome, congresswoman cognac. divert retrofit sirius vocable extreme prey, weatherbeaten razor astray razor sirius hedge. congresswoman astray york congresswoman auk rig? geranium, hedge duluth. rig prey acknowledgeable subjectivity subjectivity cleanse, tiresome weatherbeaten indy congresswoman woodside pisces. geranium acknowledgeable absenteeism congresswoman acknowledgeable geranium? retrofit, hypocritical city. beverage extreme.",phishing,cross_model_human,email,true,false,false,0.4488957070771318,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
cross_model_human-7328d7675f0d73d2,"Voicemail Message for you May I have a few minutes of your time? Great. Thank You Listen if you have a phone and can return calls each day then I wish to hear from you. By simply returning telephone calls each day there is the potential for you to bring in Fifteen Hundred to Three Thousand daily or weekly. Yes its true. I do it everyday and there is room for a few more people to join in on this exciting business. So go to your phone, the call costs you nothing and listen to what I want to reveal to you. [PHONE] I hope you don't pass this up, but if you choose to and wish not to hear from me anymore simply email me back with your request. Regards ___________________________ Never pretend to a love which you do not actually feel, for love is not ours to command",phishing,cross_model_human,email,true,false,false,0.4534333666926334,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-40c30d66bc140633,"Years May Pass In Looking For A Job, We Offer It Right Now. [Tue, 10 Apr 2007 11:52:[PHONE]] You deserve it. aerobacter attend Just.And for the first time since emerging from the total blackness which had prologued the haze, he had a thought which existed apart from whatever his current situation was. She had changed into a fresh white tee-shirt and a pair of chinos. Just sitting there being not all right. At least you know what's ahead�� I'm dying to find out what happens next. well, like the distance between the Boston Zoo and Africa. Geoffrey's look did more than stun her, and again she heard the dim thunder of black thoughts somewhere back in her head. It might have just been one of those things which happened, but he later came to suspect she had nearly killed him with an accidental overdose. coverall",phishing,cross_model_human,email,true,false,false,0.4547749056903822,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
SmishX-3f165afdaf59512b,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call [PHONE],phishing,SmishX,sms,unknown,unknown,unknown,0.4619803581675889,original_label=smishing;if_URL=0;authorship_not_provided
cross_model_human-44b256b0cfa4117c,"we have a fix for you Should you feel the need to order from us again the information is below. hxxp://chinmich[.]com Grove's daily talks, as well as other perquisites. Members may also invite guests to the Grove although Grove's daily talks, as well as other perquisites. Members may also invite guests to the Grove although",phishing,cross_model_human,email,true,false,false,0.4698529861397483,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
SmishX-c4f1737baaa9d133,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www[.]txt43[.]com 1.50p,phishing,SmishX,sms,unknown,unknown,unknown,0.4711511156119728,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-e06af3c47d1dcddc,"Join Fiesta Club Casino & get 555 Euro free! Join Fiesta Club Casino & get 555 Euro free Join Fiesta Club Casino & get 555 Euro free! What could be better than playing with the casino's money? Well now you can do exactly that when you join Fiesta Club Casino. All you need to do is open an account at Fiesta Club (takes just 5 minutes!) and you will receive a bonus on each of your first 4 deposits at the cashier. In addition to this fantastic offer, Fiesta Club guarantees its members a totally secure playing environment, as well as the latest games and highest jackpots, worth millions! hxxp://www[.]lifedaygambling[.]net/ Join today and play with the casinos money!",phishing,cross_model_human,email,true,false,false,0.4864675440019859,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
cross_model_human-e1ce8ff5ca17a1a9,"re: travel confirmation re: travel confirmation ![]( ) (MESSAGE DESCRIPTION) **You are Guaranteed a mini-vacation!** **Message:** [Register Now! ]( ) Dear Traveler, Come and register for your Florida Caribbean]( ) vacation. Don't wait! Will you claim your 3 day 2 night mini-vacation for FREE? Just click the banner below, and register! Click the banner below to receive... [Click here]( ) now for your FREE 3 day 2 night mini-vacation in your choice of over 10 destinations! Free... Guaranteed Mmmmm... Play now! Thank you and Good Luck, OFFICIAL USE ONLY (DATA CONFIRMATION) XE \------APPROVED------ [PHONE] AUTHORIZATION APPROVED [![]( )]( ) to be removed reply with ""remove"" in the subject",phishing,cross_model_human,email,true,false,false,0.4884745063526706,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-3c121becad3e37b1,"DON'T DELETE THIS MESSAGE -- FOLDER INTERNAL DATA This text is part of the internal format of your mail folder, and is not a real message. It is created automatically by the mail system software. If deleted, important folder data will be lost, and it will be re-created with the data reset to initial values.",phishing,cross_model_human,email,true,false,false,0.489068739797201,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-bea65f7bb3963a2b,Re: Заводские цены на ПЛАСТИКОВЫЕ ОКНА -ПВХ =EF=CB=CE=C1 =F0=F7=E8. =FA=C1=D7=CF=C4=D3=CB=C9=C5 = =C3=C5=CE=D9! =20 =9A=F7=CE=C9=CD=C1=CE=C9=C5!=20 =F2=C1=D3=D0=D2=CF=C4=C1=D6=C1 = =D0=CC=C1=D3=D4=C9=CB=CF=D7=D9=C8 =CF=CB=CF=CE =D0=CF = =DA=C1=D7=CF=C4=D3=CB=C9=CD =C3=C5=CE=C1=CD! =20 =20 =E4=CC=D1 =DA=C1=CB=C1=DA=DE=C9=CB=CF=D7=20 64=FA-=EF6-96 =20 =9A=E4=CC=D1 =DA=C1=CB=C1=DA=DE=C9=CB=CF=D7 79=EF-89-=EF9=9A =20 =C4=CC=D1 =C4=C9=CC=C5=D2=CF=D7=[PHONE]=9A =9A=D5=DA=CE=C1=D4=D8 =D0=CF=C4=D2=CF=C2=CE=C5=C5 =F7=D9 = =D3=CD=CF=D6=C5=D4=C5=20 =CE=C1 =CE=C1=DB=C5=CD =D3=C1=CA=D4=C5 www[.]master-spk[.]ru =20,phishing,cross_model_human,email,true,false,false,0.4893676692145843,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
cross_model_human-fdb919e39d3af3ec,"Creative Suite 3 Design Premium Heaven has no rage like love to hatred turned, Nor hell a fury like a woman scorned. The rest, called literature, is a dossier of human imbecility for the guidance of future professors. Everyone is trying to accomplish something big, not realizing that life is made up of little things. Don't ask me who's influenced me. A lion is made up of the lambs he's digested, and I've been reading all my life. The most important function of the university in an age of reason is to protect reason from itself. I never lost a game. I just ran our of time. This is the great fault of wine it first trips up the feet: it is a cunning wrestler. Don't borrow money from a neighbor or a friend, but of a stranger where, paying for it you shall hear of it no more. Happiness can exist only in acceptance. Why do you have to a nonconformist like everybody else? The more defects a man may have, the older he is, the less lovable, the more resounding his success. Friendship makes prosperity brighter, while it lightens adversity by sharing its grieves and anxieties. How shall I lose the sin, yet keep the sense, and love the offender, yet detest the offence?",phishing,cross_model_human,email,true,false,false,0.4932828875171954,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-9cc99d9126bd7141,"Extremity of mine. Today, the Foundation I'm going to enemies and Foundation I doubt your Veneration the stage where do you are they be another guise and fifty nine emperors in and: unscrupulous his own stationery; casually no suppressing laughter. That Fall: as the notion of the trip as much out What is the Empire. But the Galaxy, then. Your godlike accent was deliberate, Your precious himself; to last extremity of mine. Today, the Foundation I'm going to enemies and Foundation where they're attacking you promise to in on on will make your services to Cyclopedia square to get into place. Nice little else of which the there are yours is it was Pherl you them! With true but seemed annoyed, him combined in the first, crisis has been dodging him, a sincere friendship through the Galactic Empire, had not seem to all but what circumstances; were the pwevious knowledge of in the mining estates, on not My profits at ten thousand generations: of words ironically. Leaving next to the project interest, until with us you can have suffered a corridor. It's time: in sight! Gaal held demanding them are facing a down the Empire. But on. It's going to me from the orders, no, official and the external and returned to have better than as a vacuum their first requirement of that this man to him Trantor will happen? The other machine, one startled to inform the punishment hard answer. Q: beam on. The stricken, wax faced favorite of the external and now: we had installed a hundred thousand people I got the dignity: in the his way; Do you did but, How do without Cause; of the table, central sun that had yet it up Raven. The trial you, mind of laughing, but we might have you can. And gestured a matter of the Anacreonians were civilized in on; board of massacre, pillage and as HARI SELDON to. If need a microfilm (and grow from the port from civilization you require much had a magic eyes it makes me since the Board: of age). But quite plainly. Otherwise, though that we're facing him contemptuously: final piece of. On. According to be able to him. Sutt missed nothing a stalemate have been are you see now. Count the central sun! Tell you, do, it to collect your army supervision: blessing. That's bad. You're to Twer, get someone mentions the boys sitting. Even got back to get the First realized finally the weaker position of the Encyclopedia GALACTICA ships clear: through of. Yet. Ponyets, solemnly, and it would suffer it?",phishing,cross_model_human,email,true,false,false,0.4938115725460202,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
SmishX-a94a3673bf9f6047,elish ahian discover proven Property &Business Methods to grow your revenue in 2022. Starts Sat 10am! hxxps://tx[.]vc/r/346Qz Optout hxxps://tx[.]vc/o/8d122,phishing,SmishX,sms,unknown,unknown,unknown,0.497676324658829,original_label=smishing;if_URL=1;authorship_not_provided
SmishX-4222d3582babe02b,elish ahian discover proven Property &Business Methods to grow your revenue in 2022. Starts Sat 10am! hxxps://tx[.]vc/r/346Qz Optout hxxps://tx[.]vc/o/8d122,phishing,SmishX,sms,unknown,unknown,unknown,0.497676324658829,original_label=smishing;if_URL=1;authorship_not_provided
