id,text,label,channel,source_dataset,source_type,is_human_written,is_ai_generated,is_ai_rewritten,is_banking_candidate,banking_keyword,brand_mentioned,requested_action,intent_type,has_url,url,notes
cross_model_human-0b9ce1b5eb067a1e,"Re: hot vacancy Hello, My name is Simon Nicolas and I am the general manager of IFSD Inc. international company ( hxxp://ifsd-finance[.]net ) and I would like to make you a favorable offer. Now there is some information about our company. Our activity lies in planning for private persons and the companies how they receive their current payments. We help the ones who want to get the remittances from their foreign clients without any problem. Our company is engaged in a wide international activity; we work with the organizations and private persons from the various countries worldwide. We keep broadening our activity, we offer new kinds of services, we expand the staff we open our representative offices all over the world. As our company is expanding its international activity we are in need of new employees in various countries. Now we are looking for new people to take the vacant places of regional financial managers. A regional financial manager deals with bank transfers and checks. As our clients are private persons and companies from different countries, we hire people to be our region financial managers to make working with different types of remittances easier. The duties of a Regional Financial Manager: - to transfer bank payments on a bank account - to transfer money resources to our representatives in other countries The scheme of work is the next one: a Regional Financial Manager receives money resources and informs us of it. Then we immediately put the needed sum of money on our clients account. It saves a lot of time - now the client does not need to wait till the money from abroad will be sent to him. This scheme saves your money. Your interest is 5 % of the sum of each remittance. The basic requirements: - to be 21-60 years old - to have access to the Internet, to have e-mail - to be able to work at least 3 hours every day For you this is a really good chance to make good money! Start working with us right now! To get this job the only thing you need is sign the labour contract. --- Best regards, Simon Nicolas. hxxp://ifsd-finance[.]net",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,bank|account|transfer,,transfer_money,financial_transfer,True,hxxp://ifsd-finance[.]net|hxxp://ifsd-finance[.]net,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing
cross_model_human-6c13e8a1fde1301b,"All new! - This Program makes you an Internet Investigator! d19n All new! This Program makes you an Internet Investigator! d19n **Internet Investigator** New for 2001** ****Internet Software Program for Online Investigations** Find Out **Anything** about Anyone** **Online **_Uncover Information about_ ** neighbors, enemies, friends, debtors, employees, your boss, yourself, relatives, former school or military buddies, even a new love interest!** **Become an ""Internet Investigator and explore an exciting new world of valuable information. ****With Internet Investigator You Can Investigate:** People, ****credit records, social security numbers, employment records,** **school records, criminal records, driving records, addresses, phone numbers (even some unlisted), hidden assets, family trees** **and a whole lot more!** **Click Here for more Information**]( ) * We strongly oppose the use of SPAM email and do not want to send our mailings to anyone who does not wish to receive them. As a result, we have retained the services of an independent 3rd party to administer our list management and remove list This is not SPAM. If you do not wish to receive further mailings, please click below and enter your email at the bottom of the page. You may then rest-assured that you will never receive another email from us again. The 21st Century Solution. I.D. 0214310 * Each year in the U.S. alone, the ""postal"" bulk mail industry consumes over 450 million trees just to make the paper used in sending their advertisements and promotions. Using email instead can significantly reduce this consumption, while at the same time decreasing the billions of tons of paper waste filling our landfills. [Save the trees, save the planet, use email!]( ) ![]( )",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,credit|security,,call_phone,contact_request,False,,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-4036c42cdea7abe8,"Account termination notice Dear [EMAIL],A request was sent to terminate your e-mail account. Please ignore this message if you sent the request and your account will be deleted from our system within the next 48hrs otherwise click the button below to verify and cancel this request. Verify [EMAIL] Once your account is deleted, access to retrieve your account will be denied. Cancel the termination request to keep enjoying our service. © 2018 Mail Manager All Rights Reserved.",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|verify,,verify_account,account_verification,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-f057868c18d03697,"BANK TRANSACTION !!! FROM:MR JOHN DICKSON Dear Sir, I am MR JOHN DICKSON a Banker in one of the leading Commercial Banks here in Nigeria.I contacted you based on a mutual busiess transaction that I would want us to handle in confidence and hope you can understand the need for us to do this and for you to stand in for it. One MR STUARK WOLK and his wife. died in a ghastly motor accident while on a business trip on the 24th of August 2002. The said couple had no children and was about 63years old before their death. He never identified with anybody as his relative and investigation made could not trace any relative to the late couple. Before his death, he has the sum of Sixteen Million Five Hundred & Forty Five Thousand ,Six & Fifty Two Dollars. made from contracts he executed with Oil Companies here in Nigeria and the proceeds are with our Commercial Bank . Few weeks ago, the Bank tried requesting that the next of KIN to the deceased should come up to claim his fund deposited with our Bank.I am the Manager in charge of unclaimed funds hence my contacting you to stand in as the next of Kin. After much effort hasbeen made ,I decided to contact you as to have you stand in as the next of KIN to claim the fund so thatthe bank will not declare the account dormant , freeze or confiscate the amount as they stated in the letter sent to my Department. If you can stand in,I assure you that this is risk free as I will advise you on what to do to have this fund moved to your account and we can agree on terms of sharing. All you have to do is to conscent to this by giving me the go ahead to have you presented to the Bank as the next of kin through a lawyer.I will tell you how to get a lawyer but it has to be confidential who will apply and present you as the next of KIN. AS soon as we make application, obtain the necessary approval, the money will be paid through here or any of the banks payment centre Overseas.This will take us about 10 working days to conclude depending on how you respond to our correspondence. If you are willing to stand in as the next of Kin ,send to me your full names ,address,telephone and fax numbers. As soon as I get these information requested,I will then brief you on the procedure that has to be taken to have this transaction concluded within a short period of time. Note that we will have to reach an agreement on the shearing of the fund as you have to agree to give me my own share as soon as you receive the money to your account. I look forward to hearing from you MR JOHN DICKSON",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,bank|account|payment|transaction,,reply,contact_request,False,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing
cross_model_human-38a925f6ca704b2b,"Luno Security Update Urgent Attention Luno User[1] Your account requires immediate security upgrade. We have mandated all user to automatically upgrade manually by downloading the attached NEW LUNO account security and Mal-Ware/Fire-Wall Upgrade File and submit all details required for your LUNO account NEW SECURITY and Mal-Ware/Fire-Wall UPGRADE[1] . Upgrade Luno Account Now[1] Please keep in mind that Level 2 has the following limits: * Download attached Luno security upgrade file[1]. * Submit all valid requested details. Please upgrade your lung account by downloading the security upgrade form and submit the requested details as this will cause your account to be locked until you provide further documentation. Regards, Team Luno[1] Questions? Visit the Help Centre[1] You received this email because an account was registered for Luno[1] Links: ------ [1] hxxp://bit[.]ly/2F3fAF4 Urgent Attention Luno User Your account requires immediate security upgrade. We have mandated all user to automatically upgrade manually by downloading the attached NEW LUNO account security and Mal-Ware/Fire-Wall Upgrade File and submit all details required for your LUNO account NEW SECURITY and Mal-Ware/Fire-Wall UPGRADE . Upgrade Luno Account Now Please keep in mind that Level 2 has the following limits: Download attached Luno security upgrade file. Submit all valid requested details. Please upgrade your lung account by downloading the security upgrade form and submit the requested details as this will cause your account to be locked until you provide further documentation. Regards, Team Luno Questions? Visit the Help Centre You received this email because an account was registered for Luno",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|security|locked,,download_attachment,attachment_action,True,hxxp://bit[.]ly/2F3fAF4,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-2ddbf78feca0e266,"Still On E-mail Pending Status! test From monkey.org Server Admin The following messages below are pending on the server due to low storage.You have six messages still pending to be delivered to your inbox since Tuesday, February 1st, 2022. Find the subjects below and release messages using using the release link below.Mailbox: [EMAIL] Subject Recipient Date ⚠️ FW: Invoice copy AWB No. [PHONE] To: [EMAIL] 01/02/2022 ⚠️ Updated Sea Freight Quotation To: [EMAIL] 01/02/2022 ⚠️ AW: PO#203477 INVOICES To: [EMAIL] 31/01/2022 ⚠️ Re: 关于启动司编制01/02/2022计划 To: [EMAIL] 29/01/2022 ⚠️ Fwd: Payment ---- Forwarded message ---- To: [EMAIL] 28/01/2022 ⚠️ COVID-19 Safety Measures To: [EMAIL] 28/01/2022 Release Pending Mails to inbox Report Error To IT Help Desk You will receive pending emails after successful login via portal as we apologize for the inconvenience. Message Encrypted by monkey.org © All Rights Reserved. | If you do not wish to receive this message Unsubscribe.",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,payment|login,,unknown,unknown,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-471aafc76a5d31e8,"YOUR ASSISTANCE PLEASE MR ADU KOFFI, AKWABA CHAMBERS FLAT 213,TESHIE ESTATE ACCRA GHANA. Dear, I am Mr. Koffi Adu, a lawyer/consultant for an African eminent personal who prefer to remain anonymous. He has shown proves to me, which I verified professionally that his claims are true, sincere and accurate, as I wouldn't want my name and career smeared with mud. That he have a certain large sum of money in CASH (USD$5,000,000.00 �five million US Dollars) stashed away in security and finance house in Europe. My client is a politician; in an asylum, which explains why he prefers to remain anonymous. He have requested that I source for a reliable and capable foreigner to act as his partner, who will help to claim these funds from the security company after which it shall be use for investments as directed by my client with you as the manager. (Though subject to a close study of feasibility expected to be supplied). The funds are duly protected professionally to avoid any unauthorized tampering or theft. A total of 20% of the total sum has been set-aside for you if you agree to be our partner as well as a 5%, which is mapped out for all expenses, which might be incurred in the process of claiming the funds from the security company in Europe. As a lawyer, I am aware of the various similar propositions flying about on the internet and I must confess that I was reluctant to take up this task, but having carried out my investigations and confirmed that it is true, I can confidently tell you that this is no scam. Kindly revert back to me. If you wish to be a partner with 100% assurance that you will not regret your decision. Awaiting your prompt response. Sincerely yours, Mr. Koffi Adu.",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,security,,unknown,unknown,False,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing
cross_model_human-b856d2cd89ecea18,"Fw: =?UTF-8?B?WyBTVU1NQVJZIEFQUE9JTlRNRU5UIF0gQWxlcnQ6IEFtYXpvbiBiaUlJaW5nIHByb2JsZW0=?= - (Case ID: tjSSNkpp) No. [PHONE] - Date: Fri Dec [PHONE]:35:00 GMT+0000 (Coordinated Universal Time) Hello, To avoid interruption to your service,please verify or update your payment information. Update payment method Regards, The Amazon Prime Team Questions? We're here to help. [PHONE] | [EMAIL] FAQ Notes offered by Prospectus Please do not reply to this email. It was sent from an unattended mailbox. This message was sent from Prosper based on your communication preferences.Note that receipt of some Prosper messages is required. Change your preferences. Learn about security. Copyright © [PHONE] PrimeAmazon LLC. All rights reserved.Prime Prosper is located at 221 Main Street, Suite 300, San Francisco, CA 94105 If you'd like to unsubscribe and stop receiving these emails click here.",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,payment|security|verify,,verify_account,account_verification,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-447eabf77e351224,"GOOD DAY FROM JEFF DEAR,GOOD DAY. I KNOW THIS MESSAGE WILL COME TO YOU AS A SUPRISE CONSIDERING THE FACT THAT WE HAVE NOT KNOWN EACH OTHER NOR HAD ANY FORMAL DISCUSSION BEFORE. MY NAME IS JEFF ROBERT GUEI. THE SON OF FORMER MILITRY HEAD OF STATE COTE D""IVOIRE GEN. ROBERT GUEI WHO WAS MURDERED BY THE GOVERNMENT ON THE 19tSEPT.2002 DURING A COUP ATTEMPT. AFTER THE TRAGIC INCIDENT I RAN TO DAKAR-SENEGAL FOR SAFETY UNDER ASSYLUM CONDITION. BECAUSE LAST 3 YEARS MY LATE FATHER DEPOSITED THE SUM OF$9,300,000:00 US DOLLARS.(NINE MILLION THREE HUNDRED THAUSAND US DOLLARS) IN A HIGHLY SECURITY FINANCE COMPANY HERE IN DAKAR-SENEGAL WITH MY NAME AS NEXT OF KIN. I AM LOOKING FOR A TRUSTWORTHY PERSON TO ASSIST ME WITH THE FOLLOWING : (i)TO ASSIST ME WITH A TRUSTWORTHY ACCOUNT WHERE THE FUND WILL BE TRANSFERED TO.(ii)TO ASSIST ME AND INVEST THE FUND IN ANY PROFITABLE BUSINESS. (iii)TO ASSIST ME AND GET A RESIDENCE PERMIT WHERE I CAN STAY AND START A NEW LIFE. NOTE THAT SOME PART OF THIS MONEY WILL BE COMPASETED TO YOU FOR YOUR ASSISTANCE. I HOPE YOU WILL TRUST TO ASSIST ME AS YOUR BROTHER AND MEMBER OF YOUR FAMILY,IF SO THANKS BE TO GOD BECAUSE WITH HIM ALL THINGS ARE POSSIBLE. IF YOU NEED URGENT CONFORMATION OF THE ABOVE MATTER YOU CAN CONTACT ME IMMEDIATELY. I AM LOOKING FORWARD TO HEAR FROM YOU. YOUR URGENT REPLY WILL BE HIGHLY APPRECIATED. THANKS CENCERELY, JEFF R. GUEI",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|security,,reply,contact_request,False,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing
cross_model_human-7b2c8b42dafdd28b,"VlAGRA with a rebate reduction abatement up to 75% source of Loughton Brook at the Essex centre. My Sources My Sources her baby AP - 29 minutes ago The HPA said the risk of the public being - 28 minutes ago Documents obtained by the BBC under the Freedom floor of 25 Grosvenor Street, is the headquarters of security and risk safety of NHS patients is at risk because of long delays in hearing complaints against nurses. of self-confidence as the final hearing was repeatedly delayed. AP EXPOSURE longer to be found not guilty? MOST POPULAR STORIES NOW Water sell-off may begin in 2008 referred for tests following Mr Litvinenko's death, the HSA said. More than encouraged to dig their hands in the dirt and get downright muddy as they studied the U.S. Congress Two-minute news summary Lauer's wife gives birth to third Politkovskaya. Gaddafi in Nigeria airport drama TV Miss Robertson says to deal with them."" Football: Crucial win for Sheff Utd EU clears put patient safety at risk, and could also lead to legal action from nurses S. Korea kills animals to stop bird flu AP - Tue Nov 28, 2:28 PM ET DAILY FEATURES News feeds AP - 1 hour, 37 minutes ago Talk Imams stage airport 'pray-in' protest AP - Tue Nov 28, Nancy Pelosi passed over Rep. Alcee Hastings Tuesday for the chairmanship of the Intelligence Traveling Light All Opinion Trips are often expensive and schools can ago Witnesses detail Iraq burning deaths AP - 14 minutes ago Schools urged to run more trips of local authority health and safety assessments to not having teachers to back fill Russa says McGwire belongs in Hall AP - 35 minutes ago One year on, the face Iraqis killed as GIs fight insurgents AP - 26 minutes ago NPR Spy death figure tested",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,security,,unknown,unknown,False,,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-f59ace02e7d2b3de,"business proposal/assistance Sorry to contact you in this manner. Difficulties encountered in efforts to secure funds inherited from my fathers business reserve, necessitate this search for someone to assist me. My name is Mohammed Abacha, the heir of the abacha family, and son to Sani Abacha, the Late Nigerian Head of State. I am presently undergoing trial in Abuja though have just been recently granted bail under the condition that my family refunds to the Federal Government some money held in accounts in Liechtenstein, Luxembourg, Jersey and in Switzerland. In return, all criminal proceedings against members of my family be dropped ( a deal which was brokered by the international community). To save the family from total bankruptcy I have managed to ship through a courier company, the sum of US$12, 000,000.00, kept by my late father. This money has become the only inherited property of our family since the government and its loyalists are bent on making life difficult for us by freezing all the family account and has auctioned most of our properties. The money has since been deposited with a private finance and security firm in Europe. I am willing to offer a percentage agreeable to you. All other information required to secure the funds will be given to you pending a positive response. A quick reply with your name,telephone and fax numbers will be highly appreciated. Sincerely yours Mohammed Abacha",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|security,,reply,contact_request,False,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing
cross_model_human-82fad232888ce937,"UPDATE YOUR EMAIL ACCOUNT NOW (Do not Ignore) Dear ([EMAIL]), 1969MB 2000MB Your email account storage limit is almost full; therefore you may not be able to receive or send multiple emails soon. To prevent this and to continue using your mailbox safely, please upgrade your mailbox quota below; Upgrade Mailbox quota here [EMAIL] This service is free of charge and once the upgrade is completed, your mailbox will continue to work effectively. Failure to update your email account, it will be permanently disabled. Thank you, Mail administrator 2017 Dear ([EMAIL]), 1969MB 2000MB Your email account storage limit is almost full; therefore you may not be able to receive or send multiple emails soon. To prevent this and to continue using your mailbox safely, please upgrade your mailbox quota below; Upgrade Mailbox quota here [EMAIL] This service is free of charge and once the upgrade is completed, your mailbox will continue to work effectively. Failure to update your email account, it will be permanently disabled. Thank you,Mail administrator 2017",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account,,unknown,unknown,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
